step,local,wip,remote,cumulative
1,3,1,0,0
2,6,2,0,0
3,9,3,0,0
4,0,3,12,12
5,6,0,12,24
6,9,1,12,36
7,0,0,24,60
8,3,1,24,84
9,6,2,24,108
10,9,3,24,132
11,0,2,36,168
12,3,3,36,204
13,9,0,36,240
14,12,0,36,276
15,3,0,48,324
16,6,1,48,372
17,9,2,48,420
18,0,1,60,480
19,3,2,60,540
20,6,3,60,600
21,12,0,60,660
22,0,3,72,732
23,6,0,72,804
24,9,1,72,876
25,0,0,84,960
26,3,1,84,1044
27,6,2,84,1128
28,9,3,84,1212
29,0,2,96,1308
30,3,3,96,1404
31,9,0,96,1500
32,12,0,96,1596
33,3,0,108,1704
34,6,1,108,1812
35,9,2,108,1920
36,0,1,120,2040
37,3,2,120,2160
38,6,3,120,2280
39,12,0,120,2400
40,0,3,132,2532
41,6,0,132,2664
42,9,1,132,2796
43,0,0,144,2940
44,3,1,144,3084
45,6,2,144,3228
46,9,3,144,3372
47,0,2,156,3528
48,3,3,156,3684
49,9,0,156,3840
50,12,0,156,3996
51,3,0,168,4164
52,6,1,168,4332
53,9,2,168,4500
54,0,1,180,4680
55,3,2,180,4860
56,6,3,180,5040
57,12,0,180,5220
58,0,3,192,5412
59,6,0,192,5604
60,9,1,192,5796
61,0,0,204,6000
62,3,1,204,6204
63,6,2,204,6408
64,9,3,204,6612
65,0,2,216,6828
66,3,3,216,7044
67,9,0,216,7260
68,12,0,216,7476
69,3,0,228,7704
70,6,1,228,7932
71,9,2,228,8160
72,0,1,240,8400
73,3,2,240,8640
74,6,3,240,8880
75,12,0,240,9120
76,0,3,252,9372
77,6,0,252,9624
78,9,1,252,9876
79,0,0,264,10140
80,3,1,264,10404
81,6,2,264,10668
82,9,3,264,10932
83,0,2,276,11208
84,3,3,276,11484
85,9,0,276,11760
86,12,0,276,12036
87,3,0,288,12324
88,6,1,288,12612
89,9,2,288,12900
90,0,1,300,13200
91,3,2,300,13500
92,6,3,300,13800
93,12,0,300,14100
94,0,3,312,14412
95,6,0,312,14724
96,9,1,312,15036
97,0,0,324,15360
98,3,1,324,15684
99,6,2,324,16008
100,9,3,324,16332
